
Miss counter = 57008

[44]: tagMask: 281474976186368 , tag_offset: 138936320 , ppn: 0 , valid: true , ptIndex: 44 , countAccess: 0
[45]: tagMask: 281474974613504 , tag_offset: 140509184 , ppn: 0 , valid: true , ptIndex: 45 , countAccess: 0
[46]: tagMask: 281474976645120 , tag_offset: 142606336 , ppn: 0 , valid: true , ptIndex: 46 , countAccess: 0
[47]: tagMask: 281474972516352 , tag_offset: 146800640 , ppn: 0 , valid: true , ptIndex: 47 , countAccess: 2892
[48]: tagMask: 281474974613504 , tag_offset: 150994944 , ppn: 0 , valid: true , ptIndex: 48 , countAccess: 0
[49]: tagMask: 281474976448512 , tag_offset: 153092096 , ppn: 0 , valid: true , ptIndex: 49 , countAccess: 37
[50]: tagMask: 281474975662080 , tag_offset: 154140672 , ppn: 0 , valid: true , ptIndex: 50 , countAccess: 2122
[51]: tagMask: 281474976677888 , tag_offset: 155189248 , ppn: 0 , valid: true , ptIndex: 51 , countAccess: 199
[52]: tagMask: 281474974613504 , tag_offset: 157286400 , ppn: 0 , valid: true , ptIndex: 52 , countAccess: 0
[53]: tagMask: 281474976702464 , tag_offset: 159383552 , ppn: 0 , valid: true , ptIndex: 53 , countAccess: 41
[54]: tagMask: 281474976186368 , tag_offset: 159907840 , ppn: 0 , valid: true , ptIndex: 54 , countAccess: 792
[55]: tagMask: 281474976448512 , tag_offset: 160432128 , ppn: 0 , valid: true , ptIndex: 55 , countAccess: 0
[56]: tagMask: 281474974613504 , tag_offset: 161480704 , ppn: 0 , valid: true , ptIndex: 56 , countAccess: 0
[57]: tagMask: 281474976677888 , tag_offset: 163577856 , ppn: 0 , valid: true , ptIndex: 57 , countAccess: 0
[58]: tagMask: 281474976186368 , tag_offset: 164102144 , ppn: 0 , valid: true , ptIndex: 58 , countAccess: 429
[59]: tagMask: 281474976694272 , tag_offset: 164626432 , ppn: 0 , valid: true , ptIndex: 59 , countAccess: 0
[60]: tagMask: 281474974613504 , tag_offset: 165675008 , ppn: 0 , valid: true , ptIndex: 60 , countAccess: 0
[61]: tagMask: 281474976702464 , tag_offset: 167772160 , ppn: 0 , valid: true , ptIndex: 61 , countAccess: 0
[62]: tagMask: 281474976645120 , tag_offset: 167837696 , ppn: 0 , valid: true , ptIndex: 62 , countAccess: 0
[63]: tagMask: 281474974613504 , tag_offset: 169869312 , ppn: 0 , valid: true , ptIndex: 63 , countAccess: 0
[64]: tagMask: 281474976702464 , tag_offset: 171966464 , ppn: 0 , valid: true , ptIndex: 64 , countAccess: 0
[65]: tagMask: 281474976677888 , tag_offset: 171999232 , ppn: 0 , valid: true , ptIndex: 65 , countAccess: 0
[66]: tagMask: 281474974613504 , tag_offset: 174063616 , ppn: 0 , valid: true , ptIndex: 66 , countAccess: 0
[67]: tagMask: 281474976694272 , tag_offset: 176160768 , ppn: 0 , valid: true , ptIndex: 67 , countAccess: 0
[68]: tagMask: 281474976448512 , tag_offset: 176422912 , ppn: 0 , valid: true , ptIndex: 68 , countAccess: 0
[69]: tagMask: 281474974613504 , tag_offset: 178257920 , ppn: 0 , valid: true , ptIndex: 69 , countAccess: 0
[70]: tagMask: 281474976702464 , tag_offset: 180355072 , ppn: 0 , valid: true , ptIndex: 70 , countAccess: 0
[71]: tagMask: 281474976448512 , tag_offset: 180617216 , ppn: 0 , valid: true , ptIndex: 71 , countAccess: 1745
[72]: tagMask: 281474976694272 , tag_offset: 180879360 , ppn: 0 , valid: true , ptIndex: 72 , countAccess: 0
[73]: tagMask: 281474974613504 , tag_offset: 182452224 , ppn: 0 , valid: true , ptIndex: 73 , countAccess: 0
[74]: tagMask: 281474976702464 , tag_offset: 184549376 , ppn: 0 , valid: true , ptIndex: 74 , countAccess: 0
[75]: tagMask: 281474976186368 , tag_offset: 185073664 , ppn: 0 , valid: true , ptIndex: 75 , countAccess: 764
[76]: tagMask: 281474976579584 , tag_offset: 185597952 , ppn: 0 , valid: true , ptIndex: 76 , countAccess: 104062
[77]: tagMask: 281474974613504 , tag_offset: 186646528 , ppn: 0 , valid: true , ptIndex: 77 , countAccess: 0
[78]: tagMask: 281474976702464 , tag_offset: 188743680 , ppn: 0 , valid: true , ptIndex: 78 , countAccess: 487
[79]: tagMask: 281474968322048 , tag_offset: 192937984 , ppn: 0 , valid: true , ptIndex: 79 , countAccess: 4946
[80]: tagMask: 281474976694272 , tag_offset: 201326592 , ppn: 0 , valid: true , ptIndex: 80 , countAccess: 0
[81]: tagMask: 281474974613504 , tag_offset: 203423744 , ppn: 0 , valid: true , ptIndex: 81 , countAccess: 0
[82]: tagMask: 281474976694272 , tag_offset: 205520896 , ppn: 0 , valid: true , ptIndex: 82 , countAccess: 0
[83]: tagMask: 281474975662080 , tag_offset: 206569472 , ppn: 0 , valid: true , ptIndex: 83 , countAccess: 6902
[84]: tagMask: 281474976694272 , tag_offset: 207618048 , ppn: 0 , valid: true , ptIndex: 84 , countAccess: 0
