
Miss counter = 55961

65: TlbEntry(@tagMask=281474976677888, @tag_offset=171999232, @ppn=0, @valid=true, @ptIndex=65, @countAccess=0)
66: TlbEntry(@tagMask=281474974613504, @tag_offset=174063616, @ppn=0, @valid=true, @ptIndex=66, @countAccess=0)
67: TlbEntry(@tagMask=281474976694272, @tag_offset=176160768, @ppn=0, @valid=true, @ptIndex=67, @countAccess=0)
68: TlbEntry(@tagMask=281474976448512, @tag_offset=176422912, @ppn=0, @valid=true, @ptIndex=68, @countAccess=0)
69: TlbEntry(@tagMask=281474974613504, @tag_offset=178257920, @ppn=0, @valid=true, @ptIndex=69, @countAccess=0)
70: TlbEntry(@tagMask=281474976702464, @tag_offset=180355072, @ppn=0, @valid=true, @ptIndex=70, @countAccess=0)
71: TlbEntry(@tagMask=281474976448512, @tag_offset=180617216, @ppn=0, @valid=true, @ptIndex=71, @countAccess=281)
72: TlbEntry(@tagMask=281474976694272, @tag_offset=180879360, @ppn=0, @valid=true, @ptIndex=72, @countAccess=0)
73: TlbEntry(@tagMask=281474974613504, @tag_offset=182452224, @ppn=0, @valid=true, @ptIndex=73, @countAccess=0)
74: TlbEntry(@tagMask=281474976702464, @tag_offset=184549376, @ppn=0, @valid=true, @ptIndex=74, @countAccess=0)
75: TlbEntry(@tagMask=281474976186368, @tag_offset=185073664, @ppn=0, @valid=true, @ptIndex=75, @countAccess=87)
76: TlbEntry(@tagMask=281474976579584, @tag_offset=185597952, @ppn=0, @valid=true, @ptIndex=76, @countAccess=136)
77: TlbEntry(@tagMask=281474974613504, @tag_offset=186646528, @ppn=0, @valid=true, @ptIndex=77, @countAccess=0)
78: TlbEntry(@tagMask=281474976702464, @tag_offset=188743680, @ppn=0, @valid=true, @ptIndex=78, @countAccess=120)
79: TlbEntry(@tagMask=281474968322048, @tag_offset=192937984, @ppn=0, @valid=true, @ptIndex=79, @countAccess=979)
80: TlbEntry(@tagMask=281474976694272, @tag_offset=201326592, @ppn=0, @valid=true, @ptIndex=80, @countAccess=0)
81: TlbEntry(@tagMask=281474974613504, @tag_offset=203423744, @ppn=0, @valid=true, @ptIndex=81, @countAccess=0)
82: TlbEntry(@tagMask=281474976694272, @tag_offset=205520896, @ppn=0, @valid=true, @ptIndex=82, @countAccess=0)
83: TlbEntry(@tagMask=281474975662080, @tag_offset=206569472, @ppn=0, @valid=true, @ptIndex=83, @countAccess=1060)
84: TlbEntry(@tagMask=281474976694272, @tag_offset=207618048, @ppn=0, @valid=true, @ptIndex=84, @countAccess=0)
85: TlbEntry(@tagMask=281474974613504, @tag_offset=209715200, @ppn=0, @valid=true, @ptIndex=85, @countAccess=0)
86: TlbEntry(@tagMask=281474976702464, @tag_offset=211812352, @ppn=0, @valid=true, @ptIndex=86, @countAccess=0)
87: TlbEntry(@tagMask=281474976677888, @tag_offset=211845120, @ppn=0, @valid=true, @ptIndex=87, @countAccess=0)
88: TlbEntry(@tagMask=281474974613504, @tag_offset=213909504, @ppn=0, @valid=true, @ptIndex=88, @countAccess=0)
89: TlbEntry(@tagMask=281474976694272, @tag_offset=216006656, @ppn=0, @valid=true, @ptIndex=89, @countAccess=0)
90: TlbEntry(@tagMask=281474972516352, @tag_offset=218103808, @ppn=0, @valid=true, @ptIndex=90, @countAccess=4462)
91: TlbEntry(@tagMask=281474976645120, @tag_offset=222298112, @ppn=0, @valid=true, @ptIndex=91, @countAccess=0)
92: TlbEntry(@tagMask=281474974613504, @tag_offset=224395264, @ppn=0, @valid=true, @ptIndex=92, @countAccess=0)
