
Miss counter = 26513962

[43]: tagMask: ffffffff8000 , tag_offset: 8400000 , ppn: 0 , valid: true , ptIndex: 43 , countAccess: 2650
[44]: tagMask: fffffffc0000 , tag_offset: 8440000 , ppn: 0 , valid: true , ptIndex: 44 , countAccess: 0
[45]: tagMask: fffffff80000 , tag_offset: 8480000 , ppn: 0 , valid: true , ptIndex: 45 , countAccess: 45597
[46]: tagMask: ffffffe00000 , tag_offset: 8600000 , ppn: 0 , valid: true , ptIndex: 46 , countAccess: 0
[47]: tagMask: ffffffff0000 , tag_offset: 8800000 , ppn: 0 , valid: true , ptIndex: 47 , countAccess: 2485
[48]: tagMask: ffffffc00000 , tag_offset: 8c00000 , ppn: 0 , valid: true , ptIndex: 48 , countAccess: 667430
[49]: tagMask: ffffffe00000 , tag_offset: 9000000 , ppn: 0 , valid: true , ptIndex: 49 , countAccess: 0
[50]: tagMask: fffffffc0000 , tag_offset: 9200000 , ppn: 0 , valid: true , ptIndex: 50 , countAccess: 4683
[51]: tagMask: fffffff00000 , tag_offset: 9300000 , ppn: 0 , valid: true , ptIndex: 51 , countAccess: 8083544
[52]: tagMask: ffffffff8000 , tag_offset: 9400000 , ppn: 0 , valid: true , ptIndex: 52 , countAccess: 14342
[53]: tagMask: ffffffe00000 , tag_offset: 9600000 , ppn: 0 , valid: true , ptIndex: 53 , countAccess: 0
[54]: tagMask: ffffffffe000 , tag_offset: 9800000 , ppn: 0 , valid: true , ptIndex: 54 , countAccess: 3052
[55]: tagMask: fffffff80000 , tag_offset: 9880000 , ppn: 0 , valid: true , ptIndex: 55 , countAccess: 1154031
[56]: tagMask: fffffffc0000 , tag_offset: 9900000 , ppn: 0 , valid: true , ptIndex: 56 , countAccess: 1206
[57]: tagMask: ffffffe00000 , tag_offset: 9a00000 , ppn: 0 , valid: true , ptIndex: 57 , countAccess: 0
[58]: tagMask: ffffffff8000 , tag_offset: 9c00000 , ppn: 0 , valid: true , ptIndex: 58 , countAccess: 2996
[59]: tagMask: fffffff80000 , tag_offset: 9c80000 , ppn: 0 , valid: true , ptIndex: 59 , countAccess: 569752
[60]: tagMask: ffffffffc000 , tag_offset: 9d00000 , ppn: 0 , valid: true , ptIndex: 60 , countAccess: 0
[61]: tagMask: ffffffe00000 , tag_offset: 9e00000 , ppn: 0 , valid: true , ptIndex: 61 , countAccess: 0
[62]: tagMask: ffffffffe000 , tag_offset: a000000 , ppn: 0 , valid: true , ptIndex: 62 , countAccess: 68
[63]: tagMask: ffffffff0000 , tag_offset: a010000 , ppn: 0 , valid: true , ptIndex: 63 , countAccess: 0
[64]: tagMask: ffffffe00000 , tag_offset: a200000 , ppn: 0 , valid: true , ptIndex: 64 , countAccess: 0
[65]: tagMask: ffffffffe000 , tag_offset: a400000 , ppn: 0 , valid: true , ptIndex: 65 , countAccess: 0
[66]: tagMask: ffffffff8000 , tag_offset: a408000 , ppn: 0 , valid: true , ptIndex: 66 , countAccess: 0
[67]: tagMask: ffffffe00000 , tag_offset: a600000 , ppn: 0 , valid: true , ptIndex: 67 , countAccess: 0
[68]: tagMask: ffffffffc000 , tag_offset: a800000 , ppn: 0 , valid: true , ptIndex: 68 , countAccess: 82
[69]: tagMask: fffffffc0000 , tag_offset: a840000 , ppn: 0 , valid: true , ptIndex: 69 , countAccess: 0
[70]: tagMask: ffffffe00000 , tag_offset: aa00000 , ppn: 0 , valid: true , ptIndex: 70 , countAccess: 0
[71]: tagMask: ffffffffe000 , tag_offset: ac00000 , ppn: 0 , valid: true , ptIndex: 71 , countAccess: 0
[72]: tagMask: fffffffc0000 , tag_offset: ac40000 , ppn: 0 , valid: true , ptIndex: 72 , countAccess: 219235
[73]: tagMask: ffffffffc000 , tag_offset: ac80000 , ppn: 0 , valid: true , ptIndex: 73 , countAccess: 0
[74]: tagMask: ffffffe00000 , tag_offset: ae00000 , ppn: 0 , valid: true , ptIndex: 74 , countAccess: 0
[75]: tagMask: ffffffffe000 , tag_offset: b000000 , ppn: 0 , valid: true , ptIndex: 75 , countAccess: 0
[76]: tagMask: fffffff80000 , tag_offset: b080000 , ppn: 0 , valid: true , ptIndex: 76 , countAccess: 344544
[77]: tagMask: fffffffe0000 , tag_offset: b100000 , ppn: 0 , valid: true , ptIndex: 77 , countAccess: 7436025
[78]: tagMask: ffffffe00000 , tag_offset: b200000 , ppn: 0 , valid: true , ptIndex: 78 , countAccess: 0
[79]: tagMask: ffffffffe000 , tag_offset: b400000 , ppn: 0 , valid: true , ptIndex: 79 , countAccess: 13801
[80]: tagMask: ffffff800000 , tag_offset: b800000 , ppn: 0 , valid: true , ptIndex: 80 , countAccess: 29539824
[81]: tagMask: ffffffffc000 , tag_offset: c000000 , ppn: 0 , valid: true , ptIndex: 81 , countAccess: 0
[82]: tagMask: ffffffe00000 , tag_offset: c200000 , ppn: 0 , valid: true , ptIndex: 82 , countAccess: 0
[83]: tagMask: ffffffffc000 , tag_offset: c400000 , ppn: 0 , valid: true , ptIndex: 83 , countAccess: 2
[84]: tagMask: fffffff00000 , tag_offset: c500000 , ppn: 0 , valid: true , ptIndex: 84 , countAccess: 3446426
[85]: tagMask: ffffffffc000 , tag_offset: c600000 , ppn: 0 , valid: true , ptIndex: 85 , countAccess: 0
[86]: tagMask: ffffffe00000 , tag_offset: c800000 , ppn: 0 , valid: true , ptIndex: 86 , countAccess: 0
[87]: tagMask: ffffffffe000 , tag_offset: ca00000 , ppn: 0 , valid: true , ptIndex: 87 , countAccess: 74
[88]: tagMask: ffffffff8000 , tag_offset: ca08000 , ppn: 0 , valid: true , ptIndex: 88 , countAccess: 66
[89]: tagMask: ffffffe00000 , tag_offset: cc00000 , ppn: 0 , valid: true , ptIndex: 89 , countAccess: 0
[90]: tagMask: ffffffffc000 , tag_offset: ce00000 , ppn: 0 , valid: true , ptIndex: 90 , countAccess: 82
[91]: tagMask: ffffffc00000 , tag_offset: d000000 , ppn: 0 , valid: true , ptIndex: 91 , countAccess: 57258254
[92]: tagMask: ffffffff0000 , tag_offset: d400000 , ppn: 0 , valid: true , ptIndex: 92 , countAccess: 0
[93]: tagMask: ffffffe00000 , tag_offset: d600000 , ppn: 0 , valid: true , ptIndex: 93 , countAccess: 0
[94]: tagMask: ffffffffe000 , tag_offset: d800000 , ppn: 0 , valid: true , ptIndex: 94 , countAccess: 0
[95]: tagMask: ffffffff8000 , tag_offset: d808000 , ppn: 0 , valid: true , ptIndex: 95 , countAccess: 0
[96]: tagMask: ffffffffe000 , tag_offset: d810000 , ppn: 0 , valid: true , ptIndex: 96 , countAccess: 0
[97]: tagMask: ffffffe00000 , tag_offset: da00000 , ppn: 0 , valid: true , ptIndex: 97 , countAccess: 0
[98]: tagMask: ffffffffe000 , tag_offset: dc00000 , ppn: 0 , valid: true , ptIndex: 98 , countAccess: 0
[99]: tagMask: ffffffff8000 , tag_offset: dc08000 , ppn: 0 , valid: true , ptIndex: 99 , countAccess: 0
[100]: tagMask: ffffffe00000 , tag_offset: de00000 , ppn: 0 , valid: true , ptIndex: 100 , countAccess: 0
[101]: tagMask: ffffffffe000 , tag_offset: e000000 , ppn: 0 , valid: true , ptIndex: 101 , countAccess: 0
[102]: tagMask: fffffffe0000 , tag_offset: e020000 , ppn: 0 , valid: true , ptIndex: 102 , countAccess: 0
[103]: tagMask: ffffffe00000 , tag_offset: e200000 , ppn: 0 , valid: true , ptIndex: 103 , countAccess: 0
[104]: tagMask: ffffffffe000 , tag_offset: e400000 , ppn: 0 , valid: true , ptIndex: 104 , countAccess: 0
[105]: tagMask: ffffffe00000 , tag_offset: e600000 , ppn: 0 , valid: true , ptIndex: 105 , countAccess: 28512084
[106]: tagMask: fffffffff000 , tag_offset: e800000 , ppn: 0 , valid: true , ptIndex: 106 , countAccess: 0
