
Miss counter = 109492019

[43]: tagMask: ffffffe00000 , tag_offset: 6000000 , ppn: 0 , valid: true , ptIndex: 43 , countAccess: 0
[44]: tagMask: ffffffffe000 , tag_offset: 6200000 , ppn: 0 , valid: true , ptIndex: 44 , countAccess: 477245
[45]: tagMask: fffffffe0000 , tag_offset: 6220000 , ppn: 0 , valid: true , ptIndex: 45 , countAccess: 33251
[46]: tagMask: ffffffe00000 , tag_offset: 6400000 , ppn: 0 , valid: true , ptIndex: 46 , countAccess: 0
[47]: tagMask: fffffffff000 , tag_offset: 6600000 , ppn: 0 , valid: true , ptIndex: 47 , countAccess: 49747
[48]: tagMask: ffffffe00000 , tag_offset: 6800000 , ppn: 0 , valid: true , ptIndex: 48 , countAccess: 1529945751
[49]: tagMask: ffffffe00000 , tag_offset: 6a00000 , ppn: 0 , valid: true , ptIndex: 49 , countAccess: 0
[50]: tagMask: ffffffff8000 , tag_offset: 6c00000 , ppn: 0 , valid: true , ptIndex: 50 , countAccess: 531525
[51]: tagMask: ffffffffc000 , tag_offset: 6c08000 , ppn: 0 , valid: true , ptIndex: 51 , countAccess: 611616
[52]: tagMask: ffffffffc000 , tag_offset: 6c0c000 , ppn: 0 , valid: true , ptIndex: 52 , countAccess: 2950
[53]: tagMask: ffffffffc000 , tag_offset: 6c10000 , ppn: 0 , valid: true , ptIndex: 53 , countAccess: 5913
[54]: tagMask: ffffffffc000 , tag_offset: 6c14000 , ppn: 0 , valid: true , ptIndex: 54 , countAccess: 5876
[55]: tagMask: ffffffff8000 , tag_offset: 6c18000 , ppn: 0 , valid: true , ptIndex: 55 , countAccess: 26041
[56]: tagMask: ffffffff0000 , tag_offset: 6c20000 , ppn: 0 , valid: true , ptIndex: 56 , countAccess: 41720
[57]: tagMask: fffffffe0000 , tag_offset: 6c40000 , ppn: 0 , valid: true , ptIndex: 57 , countAccess: 110437
[58]: tagMask: ffffffff0000 , tag_offset: 6c60000 , ppn: 0 , valid: true , ptIndex: 58 , countAccess: 55854
[59]: tagMask: ffffffffc000 , tag_offset: 6c70000 , ppn: 0 , valid: true , ptIndex: 59 , countAccess: 9374
[60]: tagMask: fffffffff000 , tag_offset: 6c74000 , ppn: 0 , valid: true , ptIndex: 60 , countAccess: 3001
[61]: tagMask: fffffffff000 , tag_offset: 6c75000 , ppn: 0 , valid: true , ptIndex: 61 , countAccess: 1813
[62]: tagMask: fffffffff000 , tag_offset: 6c76000 , ppn: 0 , valid: true , ptIndex: 62 , countAccess: 1836
[63]: tagMask: fffffffff000 , tag_offset: 6c77000 , ppn: 0 , valid: true , ptIndex: 63 , countAccess: 1845
[64]: tagMask: fffffffff000 , tag_offset: 6c78000 , ppn: 0 , valid: true , ptIndex: 64 , countAccess: 1925
[65]: tagMask: fffffffff000 , tag_offset: 6c79000 , ppn: 0 , valid: true , ptIndex: 65 , countAccess: 1914
[66]: tagMask: fffffffff000 , tag_offset: 6c7a000 , ppn: 0 , valid: true , ptIndex: 66 , countAccess: 1913
[67]: tagMask: fffffffff000 , tag_offset: 6c7b000 , ppn: 0 , valid: true , ptIndex: 67 , countAccess: 1893
[68]: tagMask: ffffffffe000 , tag_offset: 6c7c000 , ppn: 0 , valid: true , ptIndex: 68 , countAccess: 8473
[69]: tagMask: fffffffff000 , tag_offset: 6c7e000 , ppn: 0 , valid: true , ptIndex: 69 , countAccess: 1890
[70]: tagMask: fffffffff000 , tag_offset: 6c7f000 , ppn: 0 , valid: true , ptIndex: 70 , countAccess: 1910
[71]: tagMask: ffffffffe000 , tag_offset: 6c80000 , ppn: 0 , valid: true , ptIndex: 71 , countAccess: 5487
[72]: tagMask: ffffffe00000 , tag_offset: 6e00000 , ppn: 0 , valid: true , ptIndex: 72 , countAccess: 51721476
[73]: tagMask: fffffffe0000 , tag_offset: 7000000 , ppn: 0 , valid: true , ptIndex: 73 , countAccess: 32883
[74]: tagMask: ffffffe00000 , tag_offset: 7200000 , ppn: 0 , valid: true , ptIndex: 74 , countAccess: 0
[75]: tagMask: ffffffffe000 , tag_offset: 7400000 , ppn: 0 , valid: true , ptIndex: 75 , countAccess: 40746
[76]: tagMask: ffffffff8000 , tag_offset: 7408000 , ppn: 0 , valid: true , ptIndex: 76 , countAccess: 26925
[77]: tagMask: ffffffe00000 , tag_offset: 7600000 , ppn: 0 , valid: true , ptIndex: 77 , countAccess: 0
[78]: tagMask: ffffffffe000 , tag_offset: 7800000 , ppn: 0 , valid: true , ptIndex: 78 , countAccess: 45416
[79]: tagMask: fffffffc0000 , tag_offset: 7840000 , ppn: 0 , valid: true , ptIndex: 79 , countAccess: 4211191
[80]: tagMask: ffffffe00000 , tag_offset: 7a00000 , ppn: 0 , valid: true , ptIndex: 80 , countAccess: 0
[81]: tagMask: ffffffffc000 , tag_offset: 7c00000 , ppn: 0 , valid: true , ptIndex: 81 , countAccess: 380747
[82]: tagMask: ffffffffc000 , tag_offset: 7c04000 , ppn: 0 , valid: true , ptIndex: 82 , countAccess: 153060
[83]: tagMask: ffffffffc000 , tag_offset: 7c08000 , ppn: 0 , valid: true , ptIndex: 83 , countAccess: 4157653
