
Miss counter = 36190489

[43]: tagMask: ffffffffc000 , tag_offset: 7804000 , ppn: 0 , valid: true , ptIndex: 43 , countAccess: 1079673
[44]: tagMask: ffffffe00000 , tag_offset: 7a00000 , ppn: 0 , valid: true , ptIndex: 44 , countAccess: 1411918
[45]: tagMask: ffffffe00000 , tag_offset: 7c00000 , ppn: 0 , valid: true , ptIndex: 45 , countAccess: 0
[46]: tagMask: ffffffff0000 , tag_offset: 7e00000 , ppn: 0 , valid: true , ptIndex: 46 , countAccess: 100592
[47]: tagMask: ffffffffc000 , tag_offset: 7e10000 , ppn: 0 , valid: true , ptIndex: 47 , countAccess: 29460
[48]: tagMask: ffffffe00000 , tag_offset: 8000000 , ppn: 0 , valid: true , ptIndex: 48 , countAccess: 2360
[49]: tagMask: ffffffe00000 , tag_offset: 8200000 , ppn: 0 , valid: true , ptIndex: 49 , countAccess: 0
[50]: tagMask: ffffffffe000 , tag_offset: 8400000 , ppn: 0 , valid: true , ptIndex: 50 , countAccess: 1238
[51]: tagMask: fffffffe0000 , tag_offset: 8420000 , ppn: 0 , valid: true , ptIndex: 51 , countAccess: 15790
[52]: tagMask: ffffffe00000 , tag_offset: 8600000 , ppn: 0 , valid: true , ptIndex: 52 , countAccess: 0
[53]: tagMask: fffffffff000 , tag_offset: 8800000 , ppn: 0 , valid: true , ptIndex: 53 , countAccess: 1635
[54]: tagMask: ffffffe00000 , tag_offset: 8a00000 , ppn: 0 , valid: true , ptIndex: 54 , countAccess: 1333257850
[55]: tagMask: ffffffe00000 , tag_offset: 8c00000 , ppn: 0 , valid: true , ptIndex: 55 , countAccess: 0
[56]: tagMask: ffffffff8000 , tag_offset: 8e00000 , ppn: 0 , valid: true , ptIndex: 56 , countAccess: 2127978
[57]: tagMask: ffffffffc000 , tag_offset: 8e08000 , ppn: 0 , valid: true , ptIndex: 57 , countAccess: 2804136
[58]: tagMask: fffffffe0000 , tag_offset: 8e20000 , ppn: 0 , valid: true , ptIndex: 58 , countAccess: 2022
[59]: tagMask: ffffffe00000 , tag_offset: 9000000 , ppn: 0 , valid: true , ptIndex: 59 , countAccess: 0
[60]: tagMask: ffffffffe000 , tag_offset: 9200000 , ppn: 0 , valid: true , ptIndex: 60 , countAccess: 656
[61]: tagMask: fffff8000000 , tag_offset: 10000000 , ppn: 0 , valid: true , ptIndex: 61 , countAccess: 138733053
[62]: tagMask: ffffffff8000 , tag_offset: 18000000 , ppn: 0 , valid: true , ptIndex: 62 , countAccess: 4551
[63]: tagMask: ffffffe00000 , tag_offset: 18200000 , ppn: 0 , valid: true , ptIndex: 63 , countAccess: 0
[64]: tagMask: ffffffffe000 , tag_offset: 18400000 , ppn: 0 , valid: true , ptIndex: 64 , countAccess: 508
[65]: tagMask: ffffffff0000 , tag_offset: 18410000 , ppn: 0 , valid: true , ptIndex: 65 , countAccess: 1574
[66]: tagMask: ffffffe00000 , tag_offset: 18600000 , ppn: 0 , valid: true , ptIndex: 66 , countAccess: 0
[67]: tagMask: ffffffffe000 , tag_offset: 18800000 , ppn: 0 , valid: true , ptIndex: 67 , countAccess: 255
[68]: tagMask: ffffffff0000 , tag_offset: 18810000 , ppn: 0 , valid: true , ptIndex: 68 , countAccess: 999
[69]: tagMask: ffffffe00000 , tag_offset: 18a00000 , ppn: 0 , valid: true , ptIndex: 69 , countAccess: 0
[70]: tagMask: ffffffffe000 , tag_offset: 18c00000 , ppn: 0 , valid: true , ptIndex: 70 , countAccess: 404
[71]: tagMask: ffffffff8000 , tag_offset: 18c08000 , ppn: 0 , valid: true , ptIndex: 71 , countAccess: 0
[72]: tagMask: fffffffff000 , tag_offset: 18c10000 , ppn: 0 , valid: true , ptIndex: 72 , countAccess: 0
[73]: tagMask: fffff0000000 , tag_offset: 20000000 , ppn: 0 , valid: true , ptIndex: 73 , countAccess: 135203533
[74]: tagMask: ffffffe00000 , tag_offset: 30000000 , ppn: 0 , valid: true , ptIndex: 74 , countAccess: 1080276
[75]: tagMask: fffffffff000 , tag_offset: 30200000 , ppn: 0 , valid: true , ptIndex: 75 , countAccess: 0
[76]: tagMask: ffffff800000 , tag_offset: 30800000 , ppn: 0 , valid: true , ptIndex: 76 , countAccess: 110019
[77]: tagMask: fffffffff000 , tag_offset: 31000000 , ppn: 0 , valid: true , ptIndex: 77 , countAccess: 0
[78]: tagMask: ffffff800000 , tag_offset: 31800000 , ppn: 0 , valid: true , ptIndex: 78 , countAccess: 111516
[79]: tagMask: fffffffff000 , tag_offset: 32000000 , ppn: 0 , valid: true , ptIndex: 79 , countAccess: 0
[80]: tagMask: ffffff800000 , tag_offset: 32800000 , ppn: 0 , valid: true , ptIndex: 80 , countAccess: 109824
[81]: tagMask: fffffffff000 , tag_offset: 33000000 , ppn: 0 , valid: true , ptIndex: 81 , countAccess: 0
