
Miss counter = 93848384

[43]: tagMask: ffffffe00000 , tag_offset: d800000 , ppn: 0 , valid: true , ptIndex: 43 , countAccess: 0
[44]: tagMask: ffffffffc000 , tag_offset: da00000 , ppn: 0 , valid: true , ptIndex: 44 , countAccess: 74368
[45]: tagMask: fffffffff000 , tag_offset: da04000 , ppn: 0 , valid: true , ptIndex: 45 , countAccess: 160
[46]: tagMask: ffffffffc000 , tag_offset: da08000 , ppn: 0 , valid: true , ptIndex: 46 , countAccess: 143491
[47]: tagMask: ffffffe00000 , tag_offset: dc00000 , ppn: 0 , valid: true , ptIndex: 47 , countAccess: 0
[48]: tagMask: ffffffffe000 , tag_offset: de00000 , ppn: 0 , valid: true , ptIndex: 48 , countAccess: 89127
[49]: tagMask: ffffffff8000 , tag_offset: de08000 , ppn: 0 , valid: true , ptIndex: 49 , countAccess: 53910
[50]: tagMask: ffffffe00000 , tag_offset: e000000 , ppn: 0 , valid: true , ptIndex: 50 , countAccess: 0
[51]: tagMask: ffffffffe000 , tag_offset: e200000 , ppn: 0 , valid: true , ptIndex: 51 , countAccess: 64180
[52]: tagMask: fffffffe0000 , tag_offset: e220000 , ppn: 0 , valid: true , ptIndex: 52 , countAccess: 41136811
[53]: tagMask: ffffffe00000 , tag_offset: e400000 , ppn: 0 , valid: true , ptIndex: 53 , countAccess: 0
[54]: tagMask: ffffffffe000 , tag_offset: e600000 , ppn: 0 , valid: true , ptIndex: 54 , countAccess: 191800
[55]: tagMask: ffffffffc000 , tag_offset: e604000 , ppn: 0 , valid: true , ptIndex: 55 , countAccess: 261425
[56]: tagMask: ffffffe00000 , tag_offset: e800000 , ppn: 0 , valid: true , ptIndex: 56 , countAccess: 16163739
[57]: tagMask: ffffffe00000 , tag_offset: ea00000 , ppn: 0 , valid: true , ptIndex: 57 , countAccess: 0
[58]: tagMask: ffffffff8000 , tag_offset: ec00000 , ppn: 0 , valid: true , ptIndex: 58 , countAccess: 287270
[59]: tagMask: ffffffe00000 , tag_offset: ee00000 , ppn: 0 , valid: true , ptIndex: 59 , countAccess: 8340836
[60]: tagMask: ffffffe00000 , tag_offset: f000000 , ppn: 0 , valid: true , ptIndex: 60 , countAccess: 0
[61]: tagMask: ffffffff0000 , tag_offset: f200000 , ppn: 0 , valid: true , ptIndex: 61 , countAccess: 106420
[62]: tagMask: fffffffff000 , tag_offset: f210000 , ppn: 0 , valid: true , ptIndex: 62 , countAccess: 1452
[63]: tagMask: ffffffe00000 , tag_offset: f400000 , ppn: 0 , valid: true , ptIndex: 63 , countAccess: 100620219
[64]: tagMask: ffffffe00000 , tag_offset: f600000 , ppn: 0 , valid: true , ptIndex: 64 , countAccess: 0
[65]: tagMask: fffffffe0000 , tag_offset: f800000 , ppn: 0 , valid: true , ptIndex: 65 , countAccess: 1642901
[66]: tagMask: ffffffffc000 , tag_offset: f820000 , ppn: 0 , valid: true , ptIndex: 66 , countAccess: 1525279
[67]: tagMask: fffffffc0000 , tag_offset: f840000 , ppn: 0 , valid: true , ptIndex: 67 , countAccess: 13972573
[68]: tagMask: ffffffe00000 , tag_offset: fa00000 , ppn: 0 , valid: true , ptIndex: 68 , countAccess: 0
[69]: tagMask: ffffffffc000 , tag_offset: fc00000 , ppn: 0 , valid: true , ptIndex: 69 , countAccess: 815886
[70]: tagMask: fffffffc0000 , tag_offset: fc40000 , ppn: 0 , valid: true , ptIndex: 70 , countAccess: 64008
[71]: tagMask: ffffffe00000 , tag_offset: fe00000 , ppn: 0 , valid: true , ptIndex: 71 , countAccess: 0
[72]: tagMask: ffffffffe000 , tag_offset: 10000000 , ppn: 0 , valid: true , ptIndex: 72 , countAccess: 57975
[73]: tagMask: ffffffe00000 , tag_offset: 10200000 , ppn: 0 , valid: true , ptIndex: 73 , countAccess: 173167
[74]: tagMask: ffffffe00000 , tag_offset: 10400000 , ppn: 0 , valid: true , ptIndex: 74 , countAccess: 0
[75]: tagMask: ffffffff0000 , tag_offset: 10600000 , ppn: 0 , valid: true , ptIndex: 75 , countAccess: 63646
[76]: tagMask: fffffffff000 , tag_offset: 10610000 , ppn: 0 , valid: true , ptIndex: 76 , countAccess: 3
[77]: tagMask: fffffff80000 , tag_offset: 10680000 , ppn: 0 , valid: true , ptIndex: 77 , countAccess: 100433
[78]: tagMask: ffffffe00000 , tag_offset: 10800000 , ppn: 0 , valid: true , ptIndex: 78 , countAccess: 0
[79]: tagMask: fffffffe0000 , tag_offset: 10a00000 , ppn: 0 , valid: true , ptIndex: 79 , countAccess: 58938
[80]: tagMask: ffffffc00000 , tag_offset: 10c00000 , ppn: 0 , valid: true , ptIndex: 80 , countAccess: 338993
